2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
-0.0899611;7.22408;18.8112;14.3766;-0.0899611;4.69685;7.1764;17.5714;-0.0899611;2.69413;3.26633;3.0756;-0.0899611;0.786781;0.882149;1.0252;-0.0899611;0.119209;0.119209;0.119209
-0.0799608;6.17504;17.6191;13.1369;-0.0799608;4.41074;6.12736;13.8998;-0.0799608;2.74181;3.12328;3.0756;-0.0799608;0.882149;0.882149;1.0252;-0.0799608;0.119209;0.119209;0.119209
-0.0699615;5.45979;16.7608;12.3262;-0.0699615;4.22001;5.4121;11.0388;-0.0699615;2.7895;3.02792;3.12328;-0.0699615;0.929832;0.929832;1.12057;-0.0699615;0.119209;0.116229;0.119209
-0.0600395;4.93526;16.0933;11.8017;-0.0600395;4.22001;4.88758;8.89301;-0.0600395;2.83718;3.0756;3.17097;-0.0600395;0.929832;0.977516;1.16825;-0.0600395;0.119209;0.119209;0.119209
-0.0500393;4.58479;15.328;11.3702;-0.0500393;4.16517;4.47989;7.38864;-0.0500393;2.9254;3.10183;3.25918;-0.0500393;0.95129;0.989437;1.16587;-0.0500393;0.10252;0.107288;0.107288
-0.0400391;4.37975;14.3171;10.9601;-0.0400391;4.19378;4.22239;6.37774;-0.0400391;3.0303;3.18766;3.35455;-0.0400391;0.989437;1.03235;1.20878;-0.0400391;0.10252;0.112057;0.10252
-0.0300388;4.27008;13.1059;10.3975;-0.0300388;4.2367;4.0555;5.71966;-0.0300388;3.13044;3.28779;3.44515;-0.0300388;1.02282;1.07527;1.24693;-0.0300388;0.10252;0.107288;0.107288
-0.0200396;4.21762;11.6849;9.57732;-0.0200396;4.28438;3.95536;5.33342;-0.0200396;3.23057;3.3927;3.53575;-0.0200396;1.04666;1.10388;1.27077;-0.0200396;0.102818;0.112057;0.10252
-0.0100393;4.21762;10.2258;8.6761;-0.0100393;4.33207;3.89814;5.11885;-0.0100393;3.3164;3.50237;3.62158;-0.0100393;1.0705;1.13249;1.28984;-0.0100393;0.10252;0.116825;0.10252
-0.0000391006;4.25555;8.88422;7.78559;-0.0000391006;4.37762;3.87694;5.02278;-0.0000391006;3.39438;3.6061;3.69526;-0.0000391006;1.08028;1.1499;1.30344;-0.0000391006;0.103712;0.114202;0.101328
0.00996113;4.33375;7.71549;7.00214;0.00996113;4.41815;3.87837;5.00133;0.00996113;3.46257;3.70242;3.75725;0.00996113;1.08362;1.15991;1.30439;0.00996113;0.104666;0.11754;0.101328
0.0199614;4.44915;6.80091;6.35507;0.0199614;4.46155;3.88743;5.02326;0.0199614;3.5217;3.78968;3.81257;0.0199614;1.0798;1.1623;1.29867;0.0199614;0.106096;0.119925;0.102282
0.0299606;4.59888;6.15385;5.87919;0.0299606;4.50351;3.90221;5.06427;0.0299606;3.5689;3.86549;3.85357;0.0299606;1.06884;1.15753;1.28437;0.0299606;0.107527;0.123739;0.102758
0.0399609;4.79438;5.75759;5.58497;0.0399609;4.55882;3.92558;5.1172;0.0399609;3.61039;3.93607;3.886;0.0399609;1.0531;1.14704;1.26577;0.0399609;0.108957;0.127077;0.103712
0.0499611;5.02898;5.52728;5.4157;0.0499611;4.62224;3.94568;5.15821;0.0499611;3.6375;3.98769;3.90205;0.0499611;1.03162;1.12904;1.23842;0.0499611;0.11046;0.129343;0.10407
0.0599613;5.31842;5.41903;5.34417;0.0599613;4.71093;3.97281;5.19683;0.0599613;3.66076;4.03542;3.91459;0.0599613;1.00572;1.10701;1.20819;0.0599613;0.112176;0.132108;0.105644
0.0699615;5.66747;5.38184;5.33845;0.0699615;4.83253;4.00037;5.23211;0.0699615;3.67898;4.07566;3.91916;0.0699615;0.978354;1.08097;1.17529;0.0699615;0.114084;0.136066;0.107742
0.0798836;6.07231;5.39472;5.37326;0.0798836;4.98368;4.02722;5.25691;0.0798836;3.6879;4.10117;3.91306;0.0798836;0.947932;1.05126;1.14024;0.0798836;0.117326;0.140882;0.109935
0.0898829;6.54581;5.44574;5.44955;0.0898829;5.18157;4.05478;5.28266;0.0898829;3.69333;4.11982;3.90152;0.0898829;0.917557;1.02113;1.10553;0.0898829;0.120855;0.146175;0.113035
0.0998831;7.10705;5.5454;5.56972;0.0998831;5.43334;4.09645;5.31795;0.0998831;3.69987;4.13531;3.88812;0.0998831;0.887993;0.991134;1.0722;0.0998831;0.125194;0.153184;0.117374
0.109883;7.73695;5.69084;5.72469;0.109883;5.73375;4.13946;5.358;0.109883;3.70106;4.14046;3.86714;0.109883;0.859335;0.961141;1.04177;0.109883;0.130535;0.161529;0.136972
0.119884;8.46318;5.90637;5.93545;0.119884;6.09281;4.19769;5.41856;0.119884;3.70649;4.14156;3.8464;0.119884;0.833491;0.93458;1.01617;0.119884;0.137735;0.172782;0.126338
0.129884;9.27666;6.19676;6.21107;0.129884;6.49955;4.26892;5.51106;0.129884;3.71012;4.13832;3.82093;0.129884;0.809219;0.908926;0.994996;0.129884;0.146223;0.186563;0.136447
0.139883;10.1636;6.56679;6.54628;0.139883;6.94063;4.35342;5.6298;0.139883;3.71217;4.12745;3.78889;0.139883;0.787333;0.886658;0.978068;0.139883;0.156188;0.203968;0.147367
0.149883;11.1521;7.03552;6.9845;0.149883;7.4189;4.47163;5.80528;0.149883;3.71708;4.11958;3.75875;0.149883;0.768497;0.867203;0.967196;0.149883;0.167776;0.224615;0.156188
0.159883;12.2202;7.6125;7.52094;0.159883;7.91052;4.62364;6.03321;0.159883;3.71689;4.10589;3.72356;0.159883;0.75095;0.850228;0.95971;0.159883;0.180555;0.249077;0.170255
0.169884;13.3527;8.30201;8.15037;0.169884;8.39165;4.81009;6.31788;0.169884;3.71498;4.09302;3.68642;0.169884;0.734833;0.836257;0.956563;0.169884;0.194336;0.274588;0.182653
0.179884;14.5581;9.11358;8.90854;0.179884;8.8518;5.0533;6.6674;0.179884;3.70745;4.07967;3.64532;0.179884;0.718763;0.823525;0.95766;0.179884;0.208784;0.302197;0.195862
0.189883;15.7884;10.0592;9.78116;0.189883;9.2552;5.34131;7.07272;0.189883;3.69257;4.06393;3.59801;0.189883;0.698498;0.811413;0.959662;0.189883;0.223757;0.32971;0.209213
0.199883;17.0215;11.1454;10.793;0.199883;9.58709;5.6751;7.51522;0.199883;3.66701;4.04839;3.54284;0.199883;0.684669;0.801447;0.967149;0.199883;0.240446;0.358941;0.218321
0.209884;18.2055;12.3733;11.9198;0.209884;9.81931;6.05323;7.98395;0.209884;3.62982;4.02984;3.46488;0.209884;0.668409;0.792959;0.975923;0.209884;0.255419;0.390746;0.231911
0.219806;19.3184;13.6998;13.1605;0.219806;9.95187;6.47857;8.44887;0.219806;3.58342;4.00843;3.39369;0.219806;0.654581;0.785807;0.984935;0.219806;0.272394;0.425459;0.247742
0.229806;20.325;15.1642;14.5147;0.229806;9.98906;6.94492;8.89185;0.229806;3.52959;3.98869;3.3172;0.229806;0.642326;0.774696;0.990275;0.229806;0.291611;0.465419;0.257708
0.239805;21.1633;16.7115;15.9438;0.239805;9.92517;7.42796;9.29287;0.239805;3.4666;3.96504;3.23342;0.239805;0.624921;0.762203;0.997619;0.239805;0.313164;0.511291;0.275494
0.249805;21.8185;18.2913;17.3925;0.249805;9.77782;7.88572;9.6238;0.249805;3.39803;3.94119;3.14611;0.249805;0.614431;0.758818;1.00878;0.249805;0.336958;0.558164;0.287271
0.259806;22.261;19.8677;18.8635;0.259806;9.55657;8.33348;9.8689;0.259806;3.32764;3.91707;3.05113;0.259806;0.610569;0.758389;1.02852;0.259806;0.359608;0.602653;0.298286
0.269806;22.5008;21.375;20.2831;0.269806;9.29144;8.70303;10.0167;0.269806;3.25264;3.88683;2.96334;0.269806;0.604846;0.756863;1.02289;0.269806;0.381304;0.645664;0.307919
0.279806;22.5294;22.7626;21.6092;0.279806;8.99485;9.00296;10.0692;0.279806;3.17582;3.86294;2.87913;0.279806;0.598552;0.76268;1.01192;0.279806;0.402953;0.681474;0.317265
0.289805;22.3545;23.96;22.7607;0.289805;8.67585;9.20514;10.0429;0.289805;3.1011;3.8288;2.78848;0.289805;0.588825;0.75877;1.02365;0.289805;0.425555;0.718239;0.332715
0.299806;21.9997;24.8798;23.682;0.299806;8.35398;9.30718;9.93136;0.299806;3.02347;3.8051;2.68758;0.299806;0.578287;0.752047;1.04483;0.299806;0.446774;0.7458;0.351168
0.309806;21.5085;25.514;24.3538;0.309806;8.01733;9.29526;9.7516;0.309806;2.94656;3.76243;2.58192;0.309806;0.55535;0.73016;1.05923;0.309806;0.463893;0.767067;0.366189
0.319806;20.8844;25.8025;24.7282;0.319806;7.68879;9.16461;9.53559;0.319806;2.87202;3.72337;2.4927;0.319806;0.546481;0.727633;1.08121;0.319806;0.472571;0.790146;0.388695
0.329806;20.1853;25.7848;24.7983;0.329806;7.36502;8.98055;9.29097;0.329806;2.79506;3.68279;2.40558;0.329806;0.538184;0.710943;1.09361;0.329806;0.488975;0.812748;0.408579
0.339806;19.44;25.4396;24.6018;0.339806;7.02456;8.74451;9.02298;0.339806;2.72192;3.64079;2.31994;0.339806;0.529792;0.702694;1.10529;0.339806;0.505759;0.829104;0.430132
0.349806;18.6704;24.8722;24.1617;0.349806;6.67264;8.47462;8.74403;0.349806;2.65444;3.60712;2.23368;0.349806;0.523879;0.701406;1.1143;0.349806;0.520112;0.845841;0.464656
0.359728;17.9046;24.0763;23.5217;0.359728;6.33743;8.18041;8.47081;0.359728;2.6038;3.57059;2.15038;0.359728;0.523068;0.701693;1.1277;0.359728;0.52488;0.865677;0.486352
0.369728;17.1374;23.1298;22.6935;0.369728;6.0394;7.88763;8.18614;0.369728;2.54453;3.52811;2.06955;0.369728;0.520112;0.698021;1.13433;0.369728;0.504853;0.880984;0.508954
0.379728;16.3878;22.1122;21.7679;0.379728;5.73518;7.59724;7.89049;0.379728;2.49475;3.48777;1.99054;0.379728;0.519111;0.694397;1.141;0.379728;0.517585;0.891379;0.532081
0.389729;15.6811;21.0584;20.8104;0.389729;5.44192;7.31495;7.60105;0.389729;2.44974;3.44609;1.92278;0.389729;0.521876;0.695541;1.15235;0.389729;0.534608;0.88642;0.558259
0.399728;15.004;20.0241;19.8038;0.399728;5.17156;7.02789;7.30255;0.399728;2.40596;3.37633;1.85292;0.399728;0.524022;0.693586;1.15593;0.399728;0.552108;0.89753;0.579479
0.409728;14.3717;18.8955;18.7915;0.409728;4.90977;6.73654;6.99547;0.409728;2.36629;3.31162;1.7896;0.409728;0.527646;0.683525;1.15283;0.409728;0.5667;0.911549;0.604274
0.419728;13.7852;17.8521;17.7782;0.419728;4.65991;6.39894;6.74894;0.419728;2.33792;3.26175;1.74397;0.419728;0.53189;0.680282;1.16489;0.419728;0.584438;0.925568;0.634315
0.429729;13.2592;16.8331;16.7707;0.429729;4.42054;6.14145;6.50671;0.429729;2.3063;3.21831;1.70534;0.429729;0.540282;0.684383;1.1607;0.429729;0.603797;0.944404;0.659444
0.439729;12.7991;15.8585;15.8041;0.439729;4.19785;5.89969;6.29976;0.439729;2.28017;3.18426;1.67297;0.439729;0.551106;0.695351;1.16728;0.439729;0.626781;0.963048;0.684192
0.449728;12.3775;14.9043;14.8581;0.449728;3.99424;5.68988;6.08757;0.449728;2.25614;3.15474;1.64641;0.449728;0.564888;0.707176;1.15903;0.449728;0.657203;0.976829;0.719479
0.459728;11.9994;13.9897;13.9421;0.459728;3.8078;5.4672;5.87204;0.459728;2.23616;3.12318;1.62714;0.459728;0.580623;0.727776;1.17248;0.459728;0.692108;1.00315;0.757769
0.469728;11.648;13.1214;13.0766;0.469728;3.6409;5.26978;5.68082;0.469728;2.24622;3.09929;1.61427;0.469728;0.604131;0.7561;1.19355;0.469728;0.704172;1.03496;0.805929
0.479729;11.2789;12.2836;12.2431;0.479729;3.4969;5.07667;5.48293;0.479729;2.23273;3.07096;1.61136;0.479729;0.637081;0.789478;1.20399;0.479729;0.756577;1.08726;0.857666
0.489729;10.9036;11.5087;11.4549;0.489729;3.35957;4.89499;5.3003;0.489729;2.22643;3.03916;1.6188;0.489729;0.678327;0.833109;1.22254;0.489729;0.809839;1.12904;0.9105
0.499728;10.5417;10.782;10.7339;0.499728;3.26993;4.70759;5.1439;0.499728;2.20893;3.02342;1.63663;0.499728;0.730017;0.882605;1.27018;0.499728;0.86625;1.18149;0.971393
0.50965;10.1574;10.0911;10.0382;0.50965;3.19697;4.53021;5.00276;0.50965;2.19882;3.00611;1.66343;0.50965;0.789049;0.939921;1.3016;0.50965;0.921229;1.24367;1.0288
0.51965;9.77878;9.47885;9.40827;0.51965;3.14309;4.3657;4.88259;0.51965;2.16893;2.97893;1.70077;0.51965;0.854281;1.00191;1.34805;0.51965;0.983123;1.30637;1.0988
0.529651;9.40351;8.90425;8.82987;0.529651;3.10446;4.23647;4.77912;0.529651;2.17307;2.9735;1.74354;0.529651;0.922183;1.06647;1.39063;0.529651;1.05083;1.35258;1.16995
0.539651;9.033;8.39165;8.28913;0.539651;3.07775;4.13538;4.68709;0.539651;2.185;2.9559;1.79451;0.539651;0.995044;1.13795;1.43955;0.539651;1.12026;1.43178;1.2502
0.54965;8.68395;7.94056;7.82135;0.54965;3.06107;4.04097;4.61318;0.54965;2.1953;2.96236;1.85521;0.54965;1.07606;1.21739;1.50259;0.54965;1.19784;1.50946;1.33851
0.55965;8.33586;7.54192;7.43034;0.55965;3.06679;3.96754;4.55882;0.55965;2.22057;2.95473;1.92292;0.55965;1.16427;1.30828;1.59634;0.55965;1.28239;1.59715;1.43951
0.569651;8.01495;7.20051;7.07796;0.569651;3.08634;3.91318;4.50065;0.569651;2.24899;2.96379;2.00079;0.569651;1.26069;1.40865;1.69581;0.569651;1.37804;1.69347;1.56668
0.579651;7.73838;6.9268;6.77803;0.579651;3.11972;3.87837;4.46107;0.579651;2.29257;2.97619;2.0985;0.579651;1.37241;1.52515;1.8205;0.579651;1.49444;1.806;1.6909
0.589651;7.46325;6.70459;6.54056;0.589651;3.17027;3.86168;4.44581;0.589651;2.33725;2.98859;2.20588;0.589651;1.49534;1.65737;2.03102;0.589651;1.62862;1.93332;1.85493
0.59965;7.24962;6.52578;6.35459;0.59965;3.2375;3.85405;4.43627;0.59965;2.39953;2.9862;2.3362;0.59965;1.64269;1.81001;2.15457;0.59965;1.79375;2.07976;2.05324
0.609651;7.05269;6.39226;6.21011;0.609651;3.32381;3.84428;4.41291;0.609651;2.48927;3.02149;2.52493;0.609651;1.81072;1.99168;2.36495;0.609651;2.00146;2.27679;2.29801
0.619651;6.89295;6.28688;6.09901;0.619651;3.4392;3.82592;4.39908;0.619651;2.64124;3.05439;2.67318;0.619651;2.01209;2.22228;2.63542;0.619651;2.26138;2.58111;2.6122
0.629651;6.77993;6.22823;6.03082;0.629651;3.57939;3.83545;4.40003;0.629651;2.79482;3.09158;2.89301;0.629651;2.25514;2.50538;2.98446;0.629651;2.58449;2.96415;3.01846
0.639651;6.68981;6.19819;5.98886;0.639651;3.74772;3.86502;4.4749;0.639651;3.03944;3.15453;3.17172;0.639651;2.56899;2.8654;3.41276;0.639651;3.01794;3.46559;3.52925
0.649572;6.60255;6.2125;5.98552;0.649572;3.95991;3.90126;4.54547;0.649572;3.30433;3.2232;3.5217;0.649572;2.96143;3.31115;3.95755;0.649572;3.56964;4.14738;4.19196
0.659573;6.54008;6.26876;6.02462;0.659573;4.23314;3.96706;4.63416;0.659573;3.67953;3.29663;3.96658;0.659573;3.47494;3.89384;4.6658;0.659573;4.28075;5.03454;5.07488
0.669573;6.47142;6.3627;6.09615;0.669573;4.56454;4.08341;4.78627;0.669573;4.17067;3.39438;4.54404;0.669573;4.146;4.65807;5.59165;0.669573;5.19733;6.23062;6.24349
0.679573;6.48525;6.52673;6.22633;0.679573;4.99942;4.19165;5.008;0.679573;4.80773;3.53505;5.29029;0.679573;5.04212;5.66032;6.80568;0.679573;6.40895;7.8204;7.75364
0.689573;6.4924;6.72557;6.39608;0.689573;5.51726;4.36045;5.29649;0.689573;5.61692;3.68096;6.25875;0.689573;6.18436;6.93491;8.37353;0.689573;7.95916;9.86699;9.64145
0.699573;6.54867;6.99642;6.64308;0.699573;6.18961;4.55071;5.67367;0.699573;6.69792;3.93178;7.52237;0.699573;7.68307;8.63818;10.4254;0.699573;9.88225;12.4472;11.9136
0.709573;6.62305;7.45275;6.98116;0.709573;7.07415;4.84921;6.18389;0.709573;8.11508;4.23075;9.16699;0.709573;9.62667;10.8083;13.0241;0.709573;12.2211;15.6053;14.5829
0.719573;6.74369;7.93198;7.41985;0.719573;8.17183;5.21781;6.87482;0.719573;9.93279;4.67565;11.2589;0.719573;12.0767;13.4314;16.125;0.719573;14.9253;19.2369;17.5274
0.729573;6.96877;8.54853;7.99826;0.729573;9.59281;5.70991;7.77176;0.729573;12.2331;5.26502;13.8305;0.729573;14.9425;16.507;19.6961;0.729573;17.9151;23.218;20.6598
0.739573;7.31256;9.40303;8.78695;0.739573;11.3953;6.33886;9.01965;0.739573;15.0426;6.06563;16.9452;0.739573;18.2107;19.9889;23.6295;0.739573;21.1695;27.5587;23.9266
0.749573;7.74696;10.4921;9.80882;0.749573;13.5954;7.21195;10.6361;0.749573;18.5164;7.16379;20.5377;0.749573;21.7112;23.7134;27.901;0.749573;24.5102;32.0128;27.1457
0.759573;8.36257;11.9622;11.164;0.759573;16.2395;8.39356;12.7705;0.759573;22.6844;8.61004;24.433;0.759573;25.4143;27.666;32.4291;0.759573;27.9225;36.5323;30.4645
0.769573;9.20752;13.8624;12.9059;0.769573;19.3065;9.95282;15.3854;0.769573;25.8358;10.505;28.8633;0.769573;29.2643;31.6528;36.9624;0.769573;31.3577;40.9516;33.594
0.779573;10.3362;16.2838;15.0989;0.779573;22.7793;11.9923;18.6027;0.779573;29.5747;12.9369;33.6174;0.779573;33.1038;35.6954;41.4461;0.779573;34.6469;45.0868;36.6849
0.789495;11.8344;19.2922;17.804;0.789495;26.6698;14.56;22.3707;0.789495;33.5492;15.9214;37.9733;0.789495;37.0072;39.8459;45.8865;0.789495;37.9137;49.236;39.709
0.799496;13.7938;22.9343;21.0059;0.799496;30.7578;17.7558;26.8272;0.799496;37.3601;19.4419;42.3869;0.799496;40.9693;43.7717;50.1658;0.799496;41.006;53.5085;42.8161
0.809495;16.2252;27.079;24.6528;0.809495;34.5315;21.5395;31.9246;0.809495;41.1433;23.4078;46.6637;0.809495;44.8984;47.6386;54.4526;0.809495;43.9953;57.5092;45.7694
0.819495;19.244;32.1053;28.7374;0.819495;38.0801;25.9231;36.3125;0.819495;44.8894;27.7127;50.8477;0.819495;48.7496;51.4056;58.7251;0.819495;46.909;61.2953;48.5875
0.829495;22.8427;37.3777;33.1744;0.829495;42.0832;30.9271;40.5993;0.829495;48.516;32.2141;54.548;0.829495;52.531;54.9676;62.7115;0.829495;49.7748;64.8096;51.0718
0.839496;27.0427;43.0083;37.8336;0.839496;45.9029;36.8179;45.5517;0.839496;51.9874;36.7106;58.0814;0.839496;56.298;58.4629;66.1972;0.839496;52.5214;68.3382;54.0425
0.849496;31.6905;48.7973;42.57;0.849496;49.1645;43.4326;50.5616;0.849496;55.3109;41.1495;61.3668;0.849496;60.2081;62.0248;69.4302;0.849496;55.0057;71.5855;56.2312
0.859495;36.8003;54.9056;47.5862;0.859495;52.1113;47.0378;54.8007;0.859495;58.6917;45.5388;64.2469;0.859495;63.8368;65.1386;72.2864;0.859495;57.0228;74.2748;58.0099
0.869495;42.2191;61.5861;52.8266;0.869495;54.8198;50.4901;58.811;0.869495;61.8436;49.8368;66.9458;0.869495;67.3225;67.8089;74.4751;0.869495;59.2115;76.1822;59.0351
0.879496;48.1154;68.1045;58.5487;0.879496;57.4949;55.6924;62.2871;0.879496;64.6045;54.0521;69.5351;0.879496;69.969;70.1073;76.516;0.879496;61.4002;77.7176;59.8552
0.889496;54.4049;70.6747;63.3266;0.889496;59.8409;60.6277;65.9635;0.889496;67.4799;57.7524;71.5616;0.889496;71.1658;70.2789;77.8702;0.889496;62.5255;78.3232;60.3416
0.899496;61.3811;73.7789;64.2135;0.899496;62.0153;64.781;69.4445;0.899496;70.8178;61.6434;73.1638;0.899496;71.1325;71.2183;78.6999;0.899496;63.9799;78.9478;60.0364
